 市场名称,市场地址,序号,所属社区名称,服务时间,类别名,联系电话,邮政编码,镇街 ,lat,lng,town
 佛山市南海丹灶长兴农贸市场,佛山市南海区丹灶镇横江海滨路,139,云溪社区,4：00——21:00,农贸市场,85445251,528216,丹灶 ,23.050007,112.90691,丹灶镇,云峰路
 佛山市南海区丹灶镇罗行康泰市场,佛山市南海区丹灶镇罗行鼎安路105号之二,138,罗行社区,4：00——21:00,农贸市场,86601927,528223,丹灶 ,23.029993,112.948123,丹灶镇,村前大街
 佛山市南海区丹灶镇金沙金宁市场,佛山市南海区丹灶镇金沙社区金兴路4号,140,金宁社区,4：00——21:00,农贸市场,86612129,528223,丹灶 ,23.063325,112.959076,丹灶镇,金兴路
 佛山市南海区西樵樵生综合市场,南海区西樵镇官山城区长堤路51号,141,西樵社区,5:00——20:00,农贸市场,86896202,528211,西樵 ,22.944566,112.971418,西樵镇,文明路
 佛山市南海区西樵大德市场,佛山市南海区西樵镇崇南第十村小组黎涌开发区,142,崇南社区,5:00——20:00,农贸市场,86862698,528211,西樵 ,22.957021,112.983233,西樵镇,启沅路
 佛山市南海西樵同生市场,南海区西樵大桐管理区,143,大同村委会,5:00——20:00,农贸市场,86896202,528211,西樵 ,22.893079,112.984025,西樵镇,同济路
 佛山市南海西樵民生市场,南海区西樵民乐圩影剧院侧民乐肉菜市场,144,民乐社区,5:00——20:00,农贸市场,86896202,528211,西樵 ,22.957499,112.973631,西樵镇,聚云街
 佛山市南海西樵百东市场,佛山市南海区西樵百东西便村与百西公路口三角地(坑底六斗) ,145,百东村委会,5:00——20:00,农贸市场,86806686,528211,西樵 ,22.949658,112.976149,西樵镇,庆和街
 佛山市南海西樵太平市场,佛山市南海区西樵太平朝阳区旁,146,太平社区,5:00——20:00,农贸市场,86822168-3330,528211,西樵 ,22.949658,112.976149,西樵镇,庆和街
 佛山市南海区西樵爱国杏丰市场,佛山市南海区西樵爱国村委会旁,148,爱国村委会,5:00——20:00,农贸市场,13702998592,528211,西樵 ,22.943062,112.956561,西樵镇,上塱大道
 佛山市南海区西樵碧玉街市,佛山市南海区西樵官山城区迳边大道碧玉东街,147,东碧社区,5:00——20:00,农贸市场,86886352,528211,西樵 ,22.942736,112.975487,西樵镇,江浦西路
 佛山市南海区西樵海舟开发区市场,佛山市南海区西樵镇海舟开发区,149,海舟村委会,5:00——20:00,农贸市场,86812606,528211,西樵 ,22.915273,112.924018,西樵镇,海舟开发区北路
 佛山市南海区西樵太平朝阳市场,佛山市南海区西樵镇太平,150,樵太社区,5:00——20:00,农贸市场,18676550139,528211,西樵 ,22.949658,112.976149,西樵镇,庆和街
 佛山市南海区西樵河溪市场,佛山市南海区西樵镇河岗河溪村,151,河岗村委会,5:00——20:00,农贸市场,13431687413,528211,西樵 ,22.949658,112.976149,西樵镇,庆和街
 佛山市南海区西樵上金瓯市场,佛山市南海区西樵镇上金瓯村委会对面,152,上金瓯村委会,5:00——20:00,农贸市场,86832067,528211,西樵 ,22.985016,112.912699,西樵镇,S269(大岗东路)
 佛山市南海区九江镇溢丰市场,佛山市南海区九江镇人民路6号,153,儒林社区,5：00——20：00,农贸市场,86558365,528203,九江 ,22.834447,113.010946,九江镇,人民路
 佛山市南海区九江河清海晏市场,佛山市南海区九江河清水闸旁,154,河清村委会,5：00——20：00,农贸市场,86512673,528203,九江 ,22.852577,112.94844,九江镇,河清四村大道
 佛山市南海区青平购物中心,佛山市南海区九江镇沙头青平路青平新村,155,水南社区,5：00——20：00,农贸市场,86900833,528203,九江 ,22.913975,113.021801,九江镇,清平路
 佛山市南海九江洛浦汇港城综合市场,佛山市南海区九江洛浦大道旁,156,上西社区,3：00——19：30,农贸市场,86564717,528203,九江 ,22.839507,113.001073,九江镇,洛浦路
 佛山市南海区九江新龙恒扬综合市场,佛山市南海区九江镇新龙村龙涌圩侧,158,新龙村委会,5：00——20：00,农贸市场,86513996,528203,九江 ,22.874635,113.01372,龙江镇,龙新线
 佛山市南海九江远和综合市场,佛山市南海区九江镇东福路3号,157,上东社区,5：00——20：00,农贸市场,86559174,528203,九江 ,22.81738,113.03045,九江镇,东福路
 佛山市南海区九江谭涌口市场利民综合市场,佛山市南海区九江镇下西上围,159,下西社区,5：00——20：00,农贸市场,86554481,528203,九江 ,22.830151,113.000261,九江镇,洪圣村路
 佛山市南海区九江上北市场,佛山市南海区九江镇梅圳村上北大道旁,160,梅圳村委会,5：00——20：00,农贸市场,81862688,528203,九江 ,23.062847,113.08567,狮山镇,宣巷村大街
 佛山市南海区九江敦根市场,佛山市南海区九江镇敦根村口龙高路边综合楼,161,敦根村委会,5：00——20：00,农贸市场,81860260,528203,九江 ,22.871335,112.993661,九江镇,龙高路辅路
 佛山市南海区大沥太平市场,佛山市南海区大沥太平社区居委会斜对面,42,大沥太平社区,6:00——19:00,农贸市场,85530128,528231,大沥 ,23.106847,113.095444,大沥镇,太平大道
 佛山市南海区官窑诚发综合市场,佛山市南海区狮山镇官窑教育路70号,88,凤源社区,8:00-22:00,农贸市场,855881593,528237,狮山 ,23.232292,113.078736,狮山镇,教育路
 佛山市南海区黄岐环宇综合市场,佛山市南海区大沥镇黄岐白沙村三乡路,75,黄岐白沙社区,7:00——21:00,农贸市场,85999808,528248,大沥 ,23.133469,113.19574,大沥镇,三乡路
 佛山中南农产品交易中心,佛山市南海区东西大道乐安路段,82,乐安社区,24小时,农贸市场,81805307,528226,罗村 ,23.125493,113.080599,大沥镇,东西大道
 佛山市南海区桂城桂花市场,南海区桂城长堤路,1,桂二社区 ,6：00——20：00,农贸市场,86229469,528200,桂城 ,23.033551,113.133305,桂城街道,长堤路
 佛山市南海区桂城雄洲市场,桂城叠北村,2,叠北社区,5:00——21:00,农贸市场,81855866,528200,桂城 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 佛山市南海区桂城好好多生鲜街市,桂城街道平三路城东工业园A5地块（4座）,3,万馨居委,6：00——20：00,农贸市场,86263018,528200,桂城 ,23.027668,113.164046,桂城街道,平海路
 佛山市南海区桂城东方市场,夏平路北侧,4,平北社区,3:30——12：00,农贸市场,86770794,528251,桂城 ,23.035938,113.188662,桂城街道,怡居二街
 佛山市南海超益农贸市场,桂城南一路,5,叠北社区,5:00——21:00,农贸市场,86308998,528200,桂城 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 佛山市南海区桂城泛阳新街市场,佛山市南海区桂城石石肯四村西新孖堂,6,石石肯四村,6：00——20：00,农贸市场,81238977,528200,桂城 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 佛山市南海桂城平西日兴市场,平西大道,7,平西居委,6：00——20：00,农贸市场,86764326,528200,桂城 ,23.024775,113.188095,桂城街道,平西街
 佛山市南海区桂城街林岳综合市场,南海区桂城平洲林岳,8,林岳,6：00——20：00,农贸市场,86706235,528251,桂城 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 佛山市南海区桂城叠南汇泉农贸市场,桂城文华北50号首层,9,叠南社区,5:00——21:00,农贸市场,86317136,528200,桂城 ,23.017306,113.124004,祖庙街道,文华北路
 佛山市南海区桂城虫雷岗永盛市场,桂城佛平二路,12,南约社区,6：00——20：00,农贸市场,86333663,528200,桂城 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 佛山市南海桂城平洲市场,桂城平洲永安中路,13,江滨社区,6：00——20：00,农贸市场,86774712,528200,桂城 ,23.031854,113.204506,桂城街道,新市场中路
 佛山市南海区桂城平洲平南市场,南海区桂城平洲平南梅园,14,平南,6：00——20：00,农贸市场,86779259,528251,桂城 ,23.026154,113.194018,桂城街道,佛平五路
 佛山市南海区桂城叠南乐庆市场,桂城南一路,10,叠南社区,6：00——20：00,农贸市场,86236618,528200,桂城 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 佛山市南海区桂城西约华兴市场,桂城南五路东,11,西约社区,5:00——21:00,农贸市场,81237626,528200,桂城 ,23.045047,113.140395,桂城街道,环山路
 佛山市南海区桂城东区奕东市场,南海区桂城奕东大道侧,16,东区,6：00——20：00,农贸市场,86703146,528251,桂城 ,23.03292,113.235212,桂城街道,
 佛山市南海区桂城东二新村市场,南海区桂城东二新村南新三路旁,15,东二,6：00——20：00,农贸市场,86322670,528200,桂城 ,23.030599,113.144222,桂城街道,南新三路
 佛山市南海区桂城北约兴隆综合市场,南海区佛平路虫雷岗街景北约段,17,北约,6：00——17：00,农贸市场,86333663,528200,桂城 ,23.038951,113.141687,桂城街道,天佑六路
 佳高南约市场,桂城街道南约村第八住宅区88号,18,南约,6：00——17：00,农贸市场,86286904,528200,桂城 ,23.038039,113.146346,桂城街道,花苑中路
 佛山市南海区桂城平洲夏教市场,南海区桂城平洲夏西村,21,夏西社区,5:00——21:00,农贸市场,81270722,528200,桂城 ,23.048476,113.16458,桂城街道,夏西大道
 东二西约市场,东二西约大街,23,东二,6：00——20：00,农贸市场,86224567,528200,桂城 ,23.027571,113.153336,桂城街道,晋阳大街
 佛山市南海区桂城石石肯大庙农贸市场,南海区桂城石石肯圩进路,19,石石肯,6：00——20：00,农贸市场,86361694,528200,桂城 ,23.013226,113.152021,桂城街道,桂业路
 佛山市南海区桂城东二南兴市场,南海区桂城东二南兴村南新三路旁,22,东二,6：00——20：00,农贸市场,86397062,528200,桂城 ,23.031197,113.144295,桂城街道,南新三路
 石石肯一村西市场,南海区桂城石石肯季华路边一村西基围,20,石石肯,6：00——20：00,农贸市场,81233752,528200,桂城 ,23.013226,113.152021,桂城街道,桂业路
 上良市场,平洲平西上良村,24,平西,8：00——19：00,农贸市场,86783118,528200,桂城 ,23.02295,113.189192,桂城街道,上良南街
 聚龙村市场,平西聚龙村,25,平西,8：00——13：00,农贸市场,81251350,528200,桂城 ,23.024775,113.188095,桂城街道,平西街
 夏北市场,夏北综合楼2号厂区首层,26,夏北,5:00——23:00,农贸市场,86797281,528200,桂城 ,23.05516,113.165263,桂城街道,夏北大道
 佛山市南海区大沥李潘市场,佛山市南海区大沥镇沥中李潘村,27,大沥沥中社区,6:00——20:00,农贸市场,81184690,528231,大沥 ,23.119613,113.116241,大沥镇,东一路
 佛山市南海区大沥镇沥丰市场,佛山市南海区大沥镇环镇路市场大道1号,28,大沥沥兴社区,2:30——20:00,农贸市场,85562050,528231,大沥 ,23.116412,113.114189,大沥镇,市场大道
 佛山市南海区大沥联滘街市,佛山市南海区大沥镇联滘新一区,29,大沥镇联滘社区,6:00——20:00,农贸市场,13702654759,528231,大沥 ,23.112482,113.116558,大沥镇,振兴路
 佛山市大沥桂江农产品综合批发市场,佛山市南海区大沥沥雅路,31,大沥沥西社区,24小时,农贸市场,85859888,528231,大沥 ,23.130706,113.11374,大沥镇,龙西新区一巷
 佛山市南海区大沥沥北沥表市场,佛山市南海区大沥沥北联江路表西段,32,大沥沥北社区,6:00——19:00,农贸市场,13709668986,528231,大沥 ,23.112482,113.116558,大沥镇,振兴路
 佛山市南海区大沥建兴肉菜市场,佛山市南海区大沥镇雅瑶村,30,大沥镇雅瑶社区,6:00——20:00,农贸市场,85551654,528231,大沥 ,23.112482,113.116558,大沥镇,振兴路
 佛山市南海区大沥沥南市场,佛山市南海区大沥镇钟边铁村牌坊旁,33,大沥钟边社区,6:00——19:00,农贸市场,85509898,528231,大沥 ,23.103153,113.109998,大沥镇,钟边大道
 佛山市南海区大沥凤东便民街,佛山市南海区大沥凤池凤东村,37,大沥凤池社区,6:00——19:00,农贸市场,13016601282,528231,大沥 ,23.114991,113.111798,大沥镇,凤东村南街
 佛山市南海区大沥陈村宏津综合市场,佛山市南海区大沥水南路,39,大沥水头社区,6:00——19:00,农贸市场,85562036,528231,大沥 ,23.112482,113.116558,大沥镇,振兴路
 佛山市南海区大沥蛇北卉龙肉菜市场,佛山市南海区大沥水头蛇北村,38,大沥水头社区,6:00——19:00,农贸市场,13709660296,528231,大沥 ,23.104952,113.129993,大沥镇,龙头里街
 佛山市南海区大沥钟边市场,佛山市南海区大沥钟边村,34,大沥钟边社区,6:00——19:00,农贸市场,85509898,528231,大沥 ,23.093207,113.105405,大沥镇,北便街
 佛山市南海区大沥奇槎三元市场,佛山市南海区大沥奇槎,40,大沥奇槎社区,6:00——19:00,农贸市场,85560101,528231,大沥 ,23.112482,113.116558,大沥镇,振兴路
 东约市场,东约南畔围2号,24,东约,6：00——17：00,农贸市场,86327811,528200,桂城 ,23.036191,113.139855,桂城街道,南桂东路
 佛山市南海区桂城平洲平顺综合市场,南海区桂城平洲中区环岛大道东侧,9,东平,6：00——20：00,农贸市场,无,528251,桂城 ,22.997871,113.230508,桂城街道,林岳大道
 西约分市场,西约福庆村,25,西约社区,6：00——17：00,农贸市场,86293131,528200,桂城 ,23.044262,113.13698,桂城街道,南五路
 村头市场,叠北村头村,26,叠北,7:00——20:00,农贸市场,86300491,528200,桂城 ,23.068002,113.123261,桂城街道,村头村
 桂园市场,桂城南桂西路1号,28,桂园居委,6：00——20：00,农贸市场,无,528200,桂城 ,23.034167,113.123503,祖庙街道,南桂西路
 坑边村市场,平洲坑边村,29,平西,8：00——19：00,农贸市场,86778876,528200,桂城 ,23.133747,112.810103,西南街道,
 夏南一市场,桂城夏南一村,33,夏南一,7:00——19:00,农贸市场,81280515,528200,桂城 ,23.047732,113.172212,桂城街道,夏南路
 佛山市南海区大沥大镇市场,佛山市南海区大沥大镇村,43,大沥大镇社区,6:00——19:00,农贸市场,85523822,528231,大沥 ,23.112482,113.116558,大沥镇,振兴路
 佛山市南海区大沥沥东村荔庄市场,佛山市南海区大沥沥东荔庄村,48,大沥沥东社区,6:00——19:00,农贸市场,85521396,528231,大沥 ,23.111497,113.131095,大沥镇,荔新一路南四街
 佛山市南海区大沥豪美豪乐综合市场,南海区大沥体育路13、15、17、30、32、34号,49,大沥沥东社区,6:00——19:00,农贸市场,85551094,528231,大沥 ,23.120317,113.120785,大沥镇,八斗路
 佛山市南海区大沥新城南广场,佛山市南海区大沥金贸大道,50,大沥沥东社区,8:00——22:00,农贸市场,81826009,528231,大沥 ,23.104603,113.121646,大沥镇,墟日一街
 佛山市南海区盐步盈丰市场,佛山市南海区大沥镇盐步青龙街125号,51,盐步直街社区,7:00——19:00,农贸市场,85796315,528247,大沥 ,23.112067,113.104895,大沥镇,新城大道辅路
 佛山市南海区盐步上白坭市场,佛山南海广佛新干线上白坭村口,52,盐步横江社区,6:00——22:00,农贸市场,85709999,528247,大沥 ,23.10848,113.163532,大沥镇,上白泥大道
 佛山市南海区横江劲龙综合市场,佛山市南海区盐步横江管理区横江村,53,盐步横江社区,6:00——22:00,农贸市场,85772066,528247,大沥 ,23.110561,113.165241,大沥镇,横沙路
 佛山市南海大沥虎榜和平市场,佛山市南海大沥镇盐步河东虎榜新村口,54,盐步河东社区,6:00——21:00,农贸市场,85778558,528247,大沥 ,23.100141,113.177678,大沥镇,虎榜大道
 佛山市南海区大沥镇盐步新华街铺,佛山市南海区大沥镇盐步军观路南,55,盐步六村社区,6:00——21:00,农贸市场,85789883,528247,大沥 ,23.112067,113.104895,大沥镇,新城大道辅路
 佛山市南海区大沥镇盐步东秀市场,佛山市南海区大沥镇盐步盐秀路东秀高村路段,56,盐步东秀社区,6:00——21:00,农贸市场,85789883,528247,大沥 ,23.096342,113.201187,大沥镇,东秀大道
 佛山市南海大沥盐步天隆城肉菜市场,佛山市南海区盐步东秀盐秀路旁,57,盐步东秀社区,6:00——22:00,农贸市场,81108899,528247,大沥 ,23.09199,113.192074,大沥镇,聚龙大道
 佛山市南海区大沥河西桂水综合市场,佛山市南海区大沥镇盐步河西大道,58,盐步河西社区,6:00——21:00,农贸市场,85779701,528247,大沥 ,23.112067,113.104895,大沥镇,新城大道辅路
 佛山市南海区大沥平地华辉铺（市场）,大沥镇盐步平地华辉西路,59,盐步平地社区,5:30——20:00,农贸市场,81109060,528247,大沥 ,23.119819,113.152981,大沥镇,新市大街
 佛山市南海大沥盐步联安恒地商贸城,佛山市南海区盐步联安乡“坦田”地段,60,盐步联安社区,6:00——21:00,农贸市场,85702828,528247,大沥 ,23.103451,113.15716,大沥镇,联桂路
 佛山市南海区大沥盐步大基尾市场,佛山市南海区大沥镇盐步河西大基尾村,61,盐步河西社区,6:00——21:00,农贸市场,13923160267,528247,大沥 ,23.091358,113.149364,大沥镇,颜边村新街
 佛山市南海区盐步环球水产交易市场,佛山市南海区盐步广佛公路平地路段,62,盐步平地社区,24小时,农贸市场,85763262,528247,大沥 ,23.112287,113.151359,大沥镇,广佛路段南
 佛山市南海区黄岐岐丰市场,佛山市南海区大沥镇黄岐岐西路68号,63,黄岐岐城社区,5:00——20:00,农贸市场,85938251,528248,大沥 ,23.118224,113.182811,大沥镇,牡丹路
 佛山市南海区黄岐岐发肉菜市场,佛山市南海区大沥镇黄岐岐东村,64,黄岐黄岐社区,8:30——18:00,农贸市场,81126288,528248,大沥 ,23.118367,113.191251,大沥镇,岐阳二路
 海宝湾水产品交易市场,佛山南海区大沥镇黄岐村漖表联建仓,66,黄岐黄岐社区,9:00——20:00,农贸市场,13929980718,528248,大沥 ,23.119894,113.184496,大沥镇,鄱阳路
 佛山市南海区大沥嘉洲市场,佛山市南海区大沥镇黄岐鄱阳西路,67,黄岐嘉怡社区,5:00——20:00,农贸市场,85932689,528248,大沥 ,23.117983,113.172538,大沥镇,大同大街
 佛山市南海区大沥黄岐六联村北二市场,佛山市南海区大沥镇黄岐六联北村观客路1号,69,黄岐六联社区,6:00——19:00,农贸市场,13702996267,528248,大沥 ,23.119485,113.190219,大沥镇,鄱阳路
 佛山市南海区大沥黄岐六联村二联市场,佛山市南海区大沥镇黄岐六联北村,68,黄岐六联社区,6:00——19:00,农贸市场,13923200945,528248,大沥 ,23.119485,113.190219,大沥镇,鄱阳路
 佛山市南海区黄岐永盛农副产品综合市场,佛山市南海区大沥镇黄岐滘边西环高速东边,65,黄岐黄岐社区,9:00——01:00,农贸市场,85981366,528248,大沥 ,23.114011,113.192473,大沥镇,S81(广州环城高速)
 佛山市南海区大沥黄岐岐北市场,佛山市南海区大沥镇黄岐北村公路北段3号,70,黄岐六联社区,6:00——19:00,农贸市场,13829727590,528248,大沥 ,23.119485,113.190219,大沥镇,鄱阳路
 佛山市南海区大沥黄岐三骏市场,佛山市南海区黄岐白沙兴联北路3号,71,黄岐白沙社区,5:00——21:00,农贸市场,81437822,528248,大沥 ,23.13989,113.19843,大沥镇,兴联北路
 佛山市南海区大沥海北综合市场,佛山市南海区黄岐海北三乡路泌冲中段18号,72,黄岐泌冲社区,4:00——23:00,农贸市场,85936333,528248,大沥 ,23.134802,113.18349,大沥镇,三乡路
 佛山市南海区大沥黄岐白沙新市场,佛山市南海区黄岐白沙南边,74,黄岐白沙社区,6:00——19:00,农贸市场,85770396,528248,大沥 ,23.13289,113.195354,大沥镇,沙溪东和路
 佛山市南海区大沥黄岐泌冲大沙墟,佛山市南海区黄岐大沙田心墟,73,黄岐泌冲社区,6:00——19:00,农贸市场,15916165566,528248,大沥 ,23.119485,113.190219,大沥镇,鄱阳路
 佛山市南海区罗村海宜市场,佛山市南海区罗村芦塘村“小伙岗”地段,76,芦塘社区,6：00——19：00,农贸市场,81262688,528226,罗村 ,23.066734,113.045484,狮山镇,状元路
